Papel   Cotacao  P/L    ROE     ROIC
ABEV3   13.26    23.40  0.1206  0.1463
B3SA3   60.57    37.00  0.132   0.1419
BBAS3   33.18    5.90   0.1536  0.00
BBDC3   19.67    9.91   0.1303  0.00
BBDC4   21.23    10.69  0.1303  0.00
BBSE3   27.04    0.00   0.00    0.00
CARD3   13.52    14.78  0.1399  0.1393
EGIE3   43.79    13.55  0.3549  0.1506
ENAT3   11.59    8.84   0.1198  0.1103
ENBR3   17.59    8.13   0.1405  0.1053
EQTL3   24.01    8.96   0.3013  0.1629
EZTC3   38.54    27.81  0.0805  0.0663
FLRY3   24.76    59.28  0.0856  0.0774
GRND3   7.71     19.20  0.1018  0.1051
GUAR3   17.80    53.96  0.0336  0.0067
HGTX3   16.43    10.30  0.173   0.053
HYPE3   33.50    18.57  0.126   0.0844
ITSA3   11.73    14.09  0.1324  0.0029
ITSA4   9.93     11.93  0.1324  0.0029
LCAM3   20.35    41.82  0.0628  0.0764
LEVE3   17.80    19.44  0.0903  0.1328
LREN3   41.61    34.92  0.2022  0.2607
MDIA3   38.08    18.74  0.1105  0.0868
ODPV3   13.35    22.39  0.2602  0.4542
PRIO3   43.09    13.23  0.1827  0.0285
PSSA3   56.96    11.63  0.1864  0.7399
RADL3   112.98   52.33  0.1755  0.0855
SHUL4   11.65    11.04  0.1463  0.0799
TAEE11  29.26    7.54   0.247   0.1188
TAEE3   9.79     7.57   0.247   0.1188
TAEE4   9.85     7.61   0.247   0.1188
WEGE3   69.17    77.50  0.1808  0.1781
YDUQ3   31.35    16.90  0.175   0.1705
