Papel   Cotacao P/L        P/VP    PSR        DY      P/Ativo    P/Cap.Giro P/EBIT     P/ACL       EV/EBIT     EV/EBITDA Mrg.Ebit    Mrg.Liq.    Liq.Corr. ROIC        ROE   Liq.2meses
AALR3   10.85   131.86     1.02    1.226      0.008   0.489      -90.69     14.05      -1.81       20.27       8.80    0.0872      0.0177      0.98    0.0395      0.0077 11456900.00
ABCB4   13.48   7.03       0.72    0.000      0.0482  0.000      0.00       0.00       0.00        0.00        0.00    0.00        0.00        0.00    0.00        0.1023 12423500.00
ABEV3   13.26   23.40      2.82    4.010      0.037   1.719      29.68      15.77      -21.75      14.96       10.94   0.2542      0.1788      1.24    0.1463      0.1206 473030000.00
ADHM3   2.22    -5.82      -1.83   1097.080   0.00    149.602    -2.03      -8.10      -1.81       -8.10       -8.27   -135.485    -188.606    0.00    5.217       0.3147 98362.20
AFLT3   9.86    26.18      2.76    16.175     0.0664  2.628      7.45       26.54      8.14        23.84       23.84   0.6095      0.6179      20.69   0.1365      0.1055 69895.20
AGRO3   20.27   31.13      1.14    1.917      0.042   0.651      4.61       8.47       -4.60       12.15       10.51   0.2263      0.1867      1.96    0.0844      0.0367 3470190.00
AHEB3   25.00   31.09      9.85    2.337      0.00    0.797      -12.05     26.37      -1.08       23.20       23.20   0.0886      0.0752      0.73    0.0363      0.3169 1877.76
AHEB6   24.83   30.88      9.78    2.321      0.00    0.792      -11.97     26.19      -1.07       23.02       23.02   0.0886      0.0752      0.73    0.0363      0.3169 165.53 
ALPA3   31.04   68.66      6.40    5.693      0.0016  2.744      11.21      37.73      28.81       37.43       28.13   0.1509      0.0786      1.60    0.1292      0.0932 72655.00
ALPA4   34.50   76.31      7.11    6.328      0.0016  3.050      12.46      41.93      32.03       41.64       31.29   0.1509      0.0786      1.60    0.1292      0.0932 56577400.00
ALPK3   9.26    0.00       2.34    0.000      0.00    0.571      -3.13      0.00       -0.94       0.00        0.00    0.00        0.00        0.44    0.00        0.00  449283.00
ALSO3   28.78   78.12      1.16    8.027      0.00    0.701      4.87       16.73      -5.09       13.82       9.48    0.4797      0.1251      9.44    0.0478      0.0149 45690000.00
